TP,FP,FN,Precision,Recall,FPR,Accuracy,frame,material,distance
0,1,1,0.0,0.0,1.0,0.0,0,card,7m
0,2,1,0.0,0.0,1.0,0.0,1,card,7m
0,2,1,0.0,0.0,1.0,0.0,2,card,7m
0,2,1,0.0,0.0,1.0,0.0,3,card,7m
0,1,1,0.0,0.0,1.0,0.0,4,card,7m
0,2,1,0.0,0.0,1.0,0.0,5,card,7m
0,2,1,0.0,0.0,1.0,0.0,6,card,7m
0,2,1,0.0,0.0,1.0,0.0,7,card,7m
0,3,1,0.0,0.0,1.0,0.0,8,card,7m
0,1,1,0.0,0.0,1.0,0.0,9,card,7m
0,2,1,0.0,0.0,1.0,0.0,10,card,7m
0,2,1,0.0,0.0,1.0,0.0,11,card,7m
0,1,1,0.0,0.0,1.0,0.0,12,card,7m
0,2,1,0.0,0.0,1.0,0.0,13,card,7m
0,2,1,0.0,0.0,1.0,0.0,14,card,7m
0,1,1,0.0,0.0,1.0,0.0,15,card,7m
0,1,1,0.0,0.0,1.0,0.0,16,card,7m
0,2,1,0.0,0.0,1.0,0.0,17,card,7m
0,2,1,0.0,0.0,1.0,0.0,18,card,7m
0,2,1,0.0,0.0,1.0,0.0,19,card,7m
0,1,1,0.0,0.0,1.0,0.0,20,mirror,7m
0,3,1,0.0,0.0,1.0,0.0,21,mirror,7m
0,1,1,0.0,0.0,1.0,0.0,22,mirror,7m
0,1,1,0.0,0.0,1.0,0.0,23,mirror,7m
0,2,1,0.0,0.0,1.0,0.0,24,mirror,7m
0,1,1,0.0,0.0,1.0,0.0,25,mirror,7m
0,2,1,0.0,0.0,1.0,0.0,26,mirror,7m
0,2,1,0.0,0.0,1.0,0.0,27,mirror,7m
0,1,1,0.0,0.0,1.0,0.0,28,mirror,7m
0,1,1,0.0,0.0,1.0,0.0,29,mirror,7m
0,1,1,0.0,0.0,1.0,0.0,30,mirror,7m
0,1,1,0.0,0.0,1.0,0.0,31,mirror,7m
0,2,1,0.0,0.0,1.0,0.0,32,mirror,7m
0,2,1,0.0,0.0,1.0,0.0,33,mirror,7m
0,4,1,0.0,0.0,1.0,0.0,34,mirror,7m
0,2,1,0.0,0.0,1.0,0.0,35,mirror,7m
0,1,1,0.0,0.0,1.0,0.0,36,mirror,7m
0,1,1,0.0,0.0,1.0,0.0,37,mirror,7m
0,2,1,0.0,0.0,1.0,0.0,38,mirror,7m
0,1,1,0.0,0.0,1.0,0.0,39,mirror,7m
0,2,1,0.0,0.0,1.0,0.0,40,nothing,7m
0,3,1,0.0,0.0,1.0,0.0,41,nothing,7m
0,2,1,0.0,0.0,1.0,0.0,42,nothing,7m
0,2,1,0.0,0.0,1.0,0.0,43,nothing,7m
0,2,1,0.0,0.0,1.0,0.0,44,nothing,7m
0,2,1,0.0,0.0,1.0,0.0,45,nothing,7m
0,2,1,0.0,0.0,1.0,0.0,46,nothing,7m
0,2,1,0.0,0.0,1.0,0.0,47,nothing,7m
0,3,1,0.0,0.0,1.0,0.0,48,nothing,7m
0,2,1,0.0,0.0,1.0,0.0,49,nothing,7m
0,2,1,0.0,0.0,1.0,0.0,50,nothing,7m
0,2,1,0.0,0.0,1.0,0.0,51,nothing,7m
0,3,1,0.0,0.0,1.0,0.0,52,nothing,7m
0,3,1,0.0,0.0,1.0,0.0,53,nothing,7m
0,1,1,0.0,0.0,1.0,0.0,54,nothing,7m
0,2,1,0.0,0.0,1.0,0.0,55,nothing,7m
0,2,1,0.0,0.0,1.0,0.0,56,nothing,7m
0,1,1,0.0,0.0,1.0,0.0,57,nothing,7m
0,4,1,0.0,0.0,1.0,0.0,58,nothing,7m
0,2,1,0.0,0.0,1.0,0.0,59,nothing,7m
0,1,1,0.0,0.0,1.0,0.0,60,spot,7m
0,2,1,0.0,0.0,1.0,0.0,61,spot,7m
