frame,material,distance,box_id,x,y,z,dx,dy,dz,heading,score,label
0,card,4m,0,0.2329638,4.0971136,0.9996784,1.9474715,3.8968842,1.4615006,6.1341915,0.9807166457176208,1
1,card,4m,0,0.23491986,4.1234193,0.99704134,1.9450078,3.8918684,1.4595903,6.1166534,0.9808253645896912,1
2,card,4m,0,0.21849158,4.1001725,1.0013802,1.9499831,3.9018931,1.4633794,6.129978,0.9802836775779724,1
3,card,4m,0,0.24845782,4.1058807,1.0008805,1.950686,3.903347,1.4639266,6.120941,0.9809946417808533,1
3,card,4m,1,0.088266134,4.1543107,0.9708384,1.9247409,3.8443782,1.4413552,6.1519394,0.6788600087165833,1
4,card,4m,0,0.2204164,4.124635,1.0001018,1.9531931,3.9081995,1.4657116,6.11294,0.9798984527587891,1
5,card,4m,0,0.24518564,4.1032796,0.9976119,1.9442928,3.8905585,1.4591241,6.1231375,0.9813608527183533,1
5,card,4m,1,0.109547794,4.1521964,0.9674504,1.9140503,3.8220437,1.4328587,6.148759,0.7136251330375671,1
6,card,4m,0,0.22677748,4.0954456,0.99887,1.9480593,3.8980007,1.4619088,6.135274,0.9803286790847778,1
7,card,4m,0,0.24254563,4.1266894,0.9977793,1.9470055,3.8958726,1.4610938,6.116008,0.9808858036994934,1
8,card,4m,0,0.25729358,4.101545,0.99645245,1.9418172,3.8855493,1.4572443,6.1335773,0.981264591217041,1
8,card,4m,1,0.098134995,4.164296,0.95631796,1.8986005,3.79185,1.4216948,6.166604,0.5443213582038879,1
9,card,4m,0,0.2363681,4.1233373,0.9967748,1.939566,3.881146,1.4555979,6.1244526,0.9818484783172607,1
10,card,4m,0,0.22958656,4.1345162,0.9990989,1.9483228,3.8984547,1.4620585,6.119089,0.9803556203842163,1
11,card,4m,0,0.23001727,4.1096745,0.99856466,1.9483671,3.898547,1.4620956,6.1207094,0.980217456817627,1
12,card,4m,0,0.2382222,4.1307087,0.99686885,1.9433695,3.888665,1.4583982,6.1191235,0.9814233183860779,1
13,card,4m,0,0.23834777,4.095103,0.99692816,1.9440702,3.8900745,1.4589396,6.1277246,0.9809437394142151,1
14,card,4m,0,0.2200756,4.135175,0.99668,1.9427238,3.8873641,1.4579111,6.1214485,0.9810974597930908,1
15,card,4m,0,0.2537585,4.128086,0.9968766,1.9429013,3.8877213,1.4580506,6.1228113,0.9814718961715698,1
15,card,4m,1,0.10792613,4.181519,0.96142924,1.9068267,3.8076634,1.4275737,6.156934,0.6311355829238892,1
16,card,4m,0,0.2834174,4.1059165,0.9945816,1.9333962,3.8688066,1.4509833,6.136758,0.9824885129928589,1
17,card,4m,0,0.23508736,4.1220355,0.9951762,1.9382728,3.8785455,1.4546161,6.1242666,0.9818664193153381,1
18,card,4m,0,0.23028931,4.1109843,0.99779606,1.9443429,3.8907049,1.459183,6.121914,0.9814505577087402,1
19,card,4m,0,0.25783598,4.097965,0.99693704,1.9437262,3.8893,1.4586447,6.135359,0.9807726144790649,1
20,mirror,4m,0,0.33867282,4.0851912,1.0504134,2.1093662,4.217459,1.581144,6.1555414,0.9457486271858215,1
21,mirror,4m,0,0.341844,4.115334,1.0493731,2.1063528,4.211188,1.5787814,6.104685,0.9430782198905945,1
22,mirror,4m,0,0.30863863,4.1255884,1.0464784,2.094979,4.1883526,1.5702918,6.068593,0.9413127899169922,1
23,mirror,4m,0,0.37508288,4.136553,1.0438092,2.0936382,4.185144,1.5690198,6.0595655,0.9388091564178467,1
24,mirror,4m,0,0.30832377,4.143512,1.0463244,2.0964901,4.1910853,1.5712721,6.0298986,0.9387218356132507,1
25,mirror,4m,0,0.32516584,4.140662,1.0473337,2.0980792,4.1941214,1.5723832,6.00605,0.9378448128700256,1
26,mirror,4m,0,0.33148122,4.140891,1.0459068,2.093857,4.1855664,1.5691898,5.996648,0.9376922249794006,1
