Block Name,Block Number,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,adjustedtime,azimuth,distance_m,intensity,laser_id,timestamp,vertical_angle
dataset_1,1,1,0.0368347,10.5523,0.184193,10.554,2886599918,20,10.554,6,1,2886599918,1
dataset_1,1,8,0.0563904,10.4223,-0.181924,10.424,2886599948,31,10.424,14,14,2886599948,-1
dataset_1,1,11,0.0736132,10.5441,0.184053,10.546,2886599973,40,10.546,6,1,2886599973,1
dataset_1,1,18,0.0927349,10.418,-0.181854,10.42,2886600003,51,10.42,10,14,2886600003,-1
dataset_1,1,21,0.108455,10.5318,0.183844,10.534,2886600028,59,10.534,6,1,2886600028,1
dataset_1,1,25,0.131986,11.4575,-1.00247,11.502,2886600049,66,11.502,4,10,2886600049,-5
dataset_1,1,28,0.127037,10.3976,-0.181505,10.4,2886600058,70,10.4,8,14,2886600058,-1
dataset_1,1,31,0.144721,10.4954,0.183215,10.498,2886600084,79,10.498,6,1,2886600084,1
dataset_1,1,35,0.171681,11.437,-1.00072,11.482,2886600104,86,11.482,4,10,2886600104,-5
dataset_1,1,38,0.163268,10.3931,-0.181435,10.396,2886600114,90,10.396,6,14,2886600114,-1
dataset_1,1,41,0.18101,10.4748,0.182866,10.478,2886600139,99,10.478,6,1,2886600139,1
dataset_1,1,45,0.214182,11.5758,-1.01292,11.622,2886600160,106,11.622,4,10,2886600160,-5
dataset_1,1,48,0.199585,10.3945,-0.18147,10.398,2886600169,110,10.398,6,14,2886600169,-1
dataset_1,1,51,0.217407,10.4661,0.182727,10.47,2886600194,119,10.47,6,1,2886600194,1
dataset_1,1,57,0.255114,11.5989,-1.01502,11.646,2886600215,126,11.646,4,10,2886600215,-5
dataset_1,1,60,0.236094,10.4037,-0.181645,10.408,2886600224,130,10.408,6,14,2886600224,-1
dataset_1,1,63,0.250382,10.4694,0.182797,10.474,2886600249,137,10.474,6,1,2886600249,1
dataset_1,1,69,0.291652,11.602,-1.01536,11.65,2886600270,144,11.65,4,10,2886600270,-5
dataset_1,1,72,0.267899,10.369,-0.181051,10.374,2886600279,148,10.374,8,14,2886600279,-1
dataset_1,1,75,0.286597,10.4565,0.182587,10.462,2886600305,157,10.462,9,1,2886600305,1
dataset_1,1,83,0.304209,10.372,-0.181121,10.378,2886600335,168,10.378,8,14,2886600335,-1
dataset_1,1,86,0.32492,10.4554,0.182587,10.462,2886600360,178,10.462,6,1,2886600360,1
dataset_1,1,95,0.341694,10.3548,-0.180842,10.362,2886600390,189,10.362,8,14,2886600390,-1
dataset_1,1,98,0.360723,10.4342,0.182238,10.442,2886600415,198,10.442,6,1,2886600415,1
dataset_1,1,104,0.417007,11.65,-1.0199,11.702,2886600436,205,11.702,4,10,2886600436,-5
dataset_1,1,109,0.39517,10.4289,0.182168,10.438,2886600471,217,10.438,6,1,2886600471,1
dataset_1,1,111,0.442395,11.6216,0.609505,11.646,2886600475,218,11.646,2,3,2886600475,3
dataset_1,1,115,0.452366,11.5649,-1.01258,11.618,2886600491,224,11.618,4,10,2886600491,-5
dataset_1,1,120,0.431406,10.4235,0.182098,10.434,2886600526,237,10.434,6,1,2886600526,1
dataset_1,1,126,0.491545,11.5354,-1.01014,11.59,2886600547,244,11.59,4,10,2886600547,-5
dataset_1,1,129,0.448302,10.3507,-0.180842,10.362,2886600556,248,10.362,100,14,2886600556,-1
dataset_1,1,132,0.468147,10.4299,0.182238,10.442,2886600581,257,10.442,6,1,2886600581,1
dataset_1,1,134,0.522658,11.5543,0.606155,11.582,2886600586,259,11.582,2,3,2886600586,3
dataset_1,1,138,0.531441,11.5257,-1.00944,11.582,2886600602,264,11.582,4,10,2886600602,-5
dataset_1,1,141,0.483869,10.3371,-0.180632,10.35,2886600611,268,10.35,100,14,2886600611,-1
dataset_1,1,144,0.503972,10.4162,0.182029,10.43,2886600637,277,10.43,6,1,2886600637,1
dataset_1,1,146,0.563181,11.5564,0.606364,11.586,2886600641,279,11.586,2,3,2886600641,3
dataset_1,1,150,0.571078,11.5118,-1.00839,11.57,2886600657,284,11.57,4,10,2886600657,-5
dataset_1,1,153,0.519447,10.3254,-0.180458,10.34,2886600667,288,10.34,111,14,2886600667,-1
