Block Name,Block Number,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,adjustedtime,azimuth,distance_m,intensity,laser_id,timestamp,vertical_angle
dataset_1,1,1,0.0138523,3.7794,0.0659701,3.78,886304977,21,3.78,4,1,886304977,1
dataset_1,1,3,0.0154417,3.84669,0.201598,3.852,886304981,23,3.852,4,3,886304981,3
dataset_1,1,5,0.0161238,3.84926,0.33677,3.864,886304986,24,3.864,4,5,886304986,5
dataset_1,1,7,0.0196465,4.32944,0.531594,4.362,886304991,26,4.362,1,7,886304991,7
dataset_1,1,8,0.0249765,5.30014,-0.650782,5.34,886304993,27,5.34,2,8,886304993,-7
dataset_1,1,9,0.0207292,4.24175,-0.371109,4.258,886304998,28,4.258,9,10,886304998,-5
dataset_1,1,11,0.0200681,3.83269,-0.200865,3.838,886305002,30,3.838,1,12,886305002,-3
dataset_1,1,13,0.0211417,3.78536,-0.0660748,3.786,886305007,32,3.786,8,14,886305007,-1
dataset_1,1,16,0.0271163,3.78933,0.0661446,3.79,886305032,41,3.79,4,1,886305032,1
dataset_1,1,18,0.0287941,3.83663,0.201075,3.842,886305037,43,3.842,6,3,886305037,3
dataset_1,1,20,0.029652,3.86114,0.337816,3.876,886305041,44,3.876,4,5,886305041,5
dataset_1,1,22,0.0434773,5.30002,-0.650782,5.34,886305048,47,5.34,2,8,886305048,-7
dataset_1,1,23,0.0351517,4.19582,-0.3671,4.212,886305053,48,4.212,9,10,886305053,-5
dataset_1,1,26,0.0343186,3.78127,-0.066005,3.782,886305062,52,3.782,8,14,886305062,-1
dataset_1,1,29,0.0395354,3.77522,0.0659003,3.776,886305087,60,3.776,4,1,886305087,1
dataset_1,1,31,0.041081,3.85849,0.202226,3.864,886305092,61,3.864,6,3,886305092,3
dataset_1,1,33,0.0424996,3.865,0.338164,3.88,886305097,63,3.88,6,5,886305097,5
dataset_1,1,34,0.062752,5.61762,-0.889799,5.688,886305099,64,5.688,15,6,886305099,-9
dataset_1,1,36,0.0488557,4.17775,-0.365531,4.194,886305108,67,4.194,23,10,886305108,-5
dataset_1,1,38,0.0466848,3.8764,-0.203168,3.882,886305113,69,3.882,1,12,886305113,-3
dataset_1,1,40,0.0469567,3.78913,-0.0661446,3.79,886305117,71,3.79,6,14,886305117,-1
dataset_1,1,43,0.0525456,3.76306,0.0656909,3.764,886305143,80,3.764,4,1,886305143,1
dataset_1,1,45,0.0551656,3.85432,0.202017,3.86,886305147,82,3.86,6,3,886305147,3
